id,file,lines,category,before_bytes,after_bytes,saved_bytes,saved_tokens_b4,action,preserved_by,risk,hard_pins,hard_pin_detail
TS-02,parallel-issues/references/triage-and-selection.md,337-367,NARR,2280,800,1480,370,write-merge-plan.sh validator behaviour prose → 8 lines (it prints every violation + a jq patch; --fix applies),write-merge-plan.sh; test-write-merge-plan*.sh,low,2,lint-helper-refs.sh:87[e]L339-339:path must resolve: $agentkit/parallel-issues/scrip | test-parallel-dispatch-contract.sh:193[a]L356-356:predictedWriteSet
TS-03,parallel-issues/references/triage-and-selection.md,410-424;431-450,NARR,1562,1300,262,65,Drop the merge-plan field bullets and the second (schema-2) JSON example; the helper names the first failing field,write-merge-plan.sh validation messages,field bullets 410-423 are pinned (chainBaseSha/headSha) — keep them; drop only the second JSON example,14,test-parallel-dispatch-contract.sh:203[a]L412-412:chainBaseSha | test-parallel-dispatch-contract.sh:203[a]L415-415:chainBaseSha | test-parallel-dispatch-contract.sh:205[a]L416-416:headSha | test-parallel-dispatch-contract.sh:203[a]L419-419:chainBaseSha
TS-04,parallel-issues/references/triage-and-selection.md,457-470,NARR,927,400,527,131,uncoveredVerification prose → 4 lines; composer prints spec-verification=,compose-worker-prompt.sh,low,1,test-spec-command-precedence.sh:354[a]L461-461:spec-verification= issue=N steps=K covered=C uncov
TS-05,parallel-issues/references/triage-and-selection.md,489-497,DUP,565,200,365,91,AGENT_GENERATED_PATHS cross-reference → 2 lines,onboard-repo Reference table,low,1,lint-helper-refs.sh:87[e]L495-495:path must resolve: agentkit/skills/onboard-repo/SK
TS-06,parallel-issues/references/triage-and-selection.md,685-711,SELF,2386,2600,0,0,"Funnel examples: 8 → 4; keep the pinned ""Legacy forms are compatibility-only…"" sentence + 1 legacy example; drop the example explanations 706-710",test-fast-mode-contract.sh:119 pins the legacy sentence; test-parallel-dispatch-contract.sh:289 pins one legacy line,"52 pins: test-fast-mode-contract.sh:164 checks each example line's arithmetic — keep the examples, cut only the explanations 706-710 | keep both pinned strings",52,test-autonomy-flags.sh:121[a]L686-686:queued= | test-fast-mode-contract.sh:101[a]L686-686:stale-active | test-fast-mode-contract.sh:103[a]L686-686:held-active | test-fast-mode-contract.sh:164[a]L686-686:DYN: funnel numbers must satisfy requested=dispatc
TS-07,parallel-issues/references/triage-and-selection.md,257-270,NARR,842,400,442,110,Active-worker ledger mode/shape rules → 4 lines; named-active-state.sh enforces 0600/symlink/owner,named-active-state.sh; test-named-active-state.sh,low,1,test-fast-mode-contract.sh:127[a]L266-266:state=terminal
TS-08,parallel-issues/references/triage-and-selection.md,212-218;226-230,HIST,790,300,490,122,Work-shape rationale → 3 lines,triage-issues.sh --classify-shape; test-work-shape.sh,low,0,
SC-01,.shared/spawn-contract.md,34-46;56-60;90-93;102-106;111-119;125-139;149-151;156-160;169-178;181-190;211-221;224-231,HIST,7036,900,6136,1534,In-block comment essays (98 lines) → one line each (12 lines); the code is unchanged,test-spawn-contract-roster.sh extracts and executes the block; comments do not affect it,the block 25-252 is executed by test-spawn-contract-roster.sh and 12× by test-parallel-dispatch-contract.sh:1615 — comment removal does not change execution; keep any comment line a test greps (test-pins.csv lists them),21,"test-parallel-dispatch-contract.sh:1615[c]L25-252:EXEC: every ```bash fence in spawn-contract.md (on | test-spawn-contract-roster.sh:23[c]L25-252:EXEC: awk /^```bash$/../^```$/ -> sole bash fence, | test-skills-contract.sh:105[a]L34-34:AGENT_WORKER_MODEL | test-skills-contract.sh:112[a]L34-34:AGENT_WORKER_MODEL"
SC-02,.shared/spawn-contract.md,255-334,NARR,6455,3000,3455,863,"Prose restating the block (sanctioned set, roster, pivot, OpenCode tier) → 15 lines; each stop prints its own reason on stderr","the block itself (lines 199, 238)","48 literal pins (test-skills-contract.sh:122-179, test-parallel-dispatch-contract.sh:1590-1604) — keep those sentences; cut the rest",48,test-skills-contract.sh:122[a]L255-255:gpt-5.6-luna | test-skills-contract.sh:153[a]L255-255:sanctioned no-extra-authorization model set is exa | test-parallel-dispatch-contract.sh:1604[a]L255-256:sanctioned no-extra-authorization model set is exa | test-parallel-dispatch-contract.sh:1590[a]L256-256:claude-sonnet-5
SC-03,.shared/spawn-contract.md,335-368,SELF,2535,1200,1335,333,Capability bullets: 352-355 repeats 337-338; 356-362 repeats 316-318 → 12 lines,—,low,2,test-skills-contract.sh:147[a]L339-339:set `selected_worker_model` to `worker_model` | test-skills-contract.sh:177[a]L358-358:spawn unavailable
SC-04,.shared/spawn-contract.md,445-477,NARR,2433,1200,1233,308,Tier mapping → 12 lines; peer-cli candidate search is harness-id.sh/agent-preflight.sh behaviour,harness-id.sh; test-harness-id.sh,low,5,test-skills-contract.sh:103[a]L454-454:two allowed implementation exceptions | test-skills-contract.sh:175[a]L454-454:two allowed implementation exceptions | test-skills-contract.sh:177[a]L454-454:spawn unavailable | test-skills-contract.sh:179[a]L456-456:qualifying bounded inline correction
AR-01,review-remote-pr/references/adversarial-review.md,103-136,HIST,2591,900,1691,422,Provenance essay (history of the `#`-comment idiom) → the 6-line recipe + 2 lines,adversarial-run.sh --provenance; test-adversarial-run.sh,low,3,test-autonomy-flags.sh:94[a]L103-103:Make the grant legible to harness approval layers | lint-helper-refs.sh:87[e]L115-115:path must resolve: $agentkit/review-remote-pr/scri | test-autonomy-flags.sh:96[a]L120-120:answerable from the command itself
AR-02,review-remote-pr/references/adversarial-review.md,136-157,NARR,2042,450,1592,398,Launch marker + lock internals → 4 lines; adversarial-run.sh enforces and names the ambiguous prior attempt,adversarial-run.sh; test-adversarial-review-cleanup.sh,low,2,test-autonomy-flags.sh:177[a]L157-157:Still disclose | test-cross-provider-consent.sh:30[a]L157-157:destination provider
AR-03,review-remote-pr/references/adversarial-review.md,174-193,NARR,1574,450,1124,281,Payload identity prose → 4 lines; consent-record.sh payload computes it,consent-record.sh; test-consent-record.sh,low,5,"test-cross-provider-consent.sh:35[a]L179-179:cross_provider_consent=<provider>;scope=PR-diff;pa | test-cross-provider-consent.sh:37[a]L182-182:provider, PR, or diff changes | test-cross-provider-consent.sh:39[a]L183-183:Do not send the diff | test-review-artifacts.sh:536[a]L187-187:consent-record.sh"
AR-04,review-remote-pr/references/adversarial-review.md,273-309,NARR,2891,1000,1891,472,Roster/fallback resolution prose → 10 lines; adversarial-run.sh resolves and warns by name,adversarial-run.sh; test-review-provider-catalog.sh,low,0,
AR-05,review-remote-pr/references/adversarial-review.md,364-371,SELF,676,0,676,169,Pitfalls table restates 18-33 and 343-348 → delete,—,low,0,
AR-06,review-remote-pr/references/adversarial-review.md,79-93,DUP,910,600,310,77,--auto-review paragraph → 6 lines; parallel-issues Flags table + line 39 carry the flag semantics,test-cross-provider-consent.sh,consent gate is external-transfer protection: keep the disclosure/record bullets 95-169 mostly,2,test-autonomy-flags.sh:175[a]L79-79:consent given in advance | test-autonomy-flags.sh:176[a]L89-89:do not stop to ask
PV-01,review-remote-pr/references/provider-rules.md,450-482,SELF,6586,2500,4086,1021,"Pitfalls: keep ~10 rows with unique facts (NOT_FOUND thread ID, 404 reply URL, dismissal endpoint, code-quality vs scanning, TRIGGER_MISPARSED, Review limit, Dismiss finding); drop ~20 rows that restate rules above",—,low,2,test-recipe-safety.sh:77[a]L452-452:$agentkit/.shared/shell-portability.md | lint-helper-refs.sh:87[e]L452-452:path must resolve: $agentkit/.shared/shell-portabi
PV-02,review-remote-pr/references/provider-rules.md,124-176,DUP,4054,1200,2854,713,"""Provider identity"" restates the classifier (37-57) and legends the digest lines that gh-pr-state.sh already prints with `next:` hints → 12 lines",gh-pr-state.sh next: lines; classify-author.sh; test-review-author-classification.sh,low,1,lint-helper-refs.sh:87[e]L157-157:path must resolve: scripts/classify-issue-comment-
PV-03,review-remote-pr/references/provider-rules.md,218-247,NARR,2271,1200,1071,267,"CodeRabbit state legend → 12 lines (4 states, one line each)",gh-pr-state.sh provider: line; test-gh-pr-state.sh,low,0,
PV-04,review-remote-pr/references/provider-rules.md,59-87,DUP,1777,500,1277,319,Code Quality probe block: the setup worker prompt (worker-prompts 407-433) runs it; root needs the 3-line artifact read → 6 lines,code-quality-state.sh; test-code-quality-state.sh,low,4,"lint-helper-refs.sh:87[e]L67-67:path must resolve: $agentkit/review-remote-pr/scri | test-parallel-dispatch-contract.sh:596[a]L69-69:if ! ""$agentkit/review-remote-pr/scripts/code-qual | lint-helper-refs.sh:87[e]L69-69:path must resolve: $agentkit/review-remote-pr/scri | test-parallel-dispatch-contract.sh:598[a]L70-70:Code Quality findings unavailable"
PV-05,review-remote-pr/references/provider-rules.md,332-339,HIST,610,200,410,102,Fingerprint essay (review-finding F4 history) → 2 lines,classify-issue-comment-findings.sh; test-classify-issue-comment-findings.sh,low,0,
PV-06,review-remote-pr/references/provider-rules.md,418-426,SELF,582,300,282,70,End of cycle → 3 lines,—,low,0,
AM-01,pr-to-green/references/auto-merge.md,184-265,NARR,5649,2400,3249,812,merge-gate flag paragraphs → 24 lines (flag + one-line meaning); the helper prints `blocked reason=` and --help carries the enum,merge-gate.sh; test-pr-to-green-merge-gate.sh,low,1,lint-helper-refs.sh:87[e]L186-186:path must resolve: scripts/merge-gate.sh
AM-02,pr-to-green/references/auto-merge.md,331-371,NARR,2947,600,2347,586,Code-scanning proof essay → 6 lines; helper prints scheduled-only/blocked reasons,merge-gate.sh,low,0,
AM-03,pr-to-green/references/auto-merge.md,100-183,NARR,5603,2000,3603,900,Mechanical-advance buckets → 20 lines (4 bucket names + one line each + fail-closed sentence),authorize-queue.sh --allow-mechanical-advance; test-pr-to-green-authorize-queue.sh,low,1,lint-helper-refs.sh:87[e]L100-100:path must resolve: scripts/authorize-queue.sh
AM-04,pr-to-green/references/auto-merge.md,450-500,NARR,3349,1000,2349,587,Dependents/delete section → 10 lines; merge-pr.sh exit 3 names dependents,merge-pr.sh; test-pr-to-green-merge-pr.sh,low,1,lint-helper-refs.sh:87[e]L473-473:path must resolve: parallel-issues/references/chai
AM-05,pr-to-green/references/auto-merge.md,508-536,NARR,1649,350,1299,324,PreToolUse guard alignment → 3 lines (the hook refuses gh pr merge / REST PUT / GraphQL merge; use merge-pr.sh),hooks/lib/guard-lib.sh; test-hooks.sh,low,1,lint-helper-refs.sh:87[e]L510-510:path must resolve: agentkit/hooks/lib/guard-lib.sh
AM-06,pr-to-green/references/auto-merge.md,537-549,SELF,704,300,404,101,Still forbidden → 3 lines,—,low,0,
AM-07,pr-to-green/references/auto-merge.md,23-53,SELF,1882,1500,382,95,Concurrency admission → 12 lines,concurrency-cap.sh; authorize-queue.sh fixed path,low,5,test-pr-to-green.sh:90[a]L26-26:concurrency-cap.sh | lint-helper-refs.sh:87[e]L26-26:path must resolve: parallel-issues/scripts/concurr | test-pr-to-green.sh:92[a]L29-30:releases its slot immediately | test-pr-to-green.sh:94[a]L39-39:re-derive the authorization for its own PR at its
WD-01,.shared/wait-discipline.md,49-83,DUP,2552,800,1752,438,"GitHub API budget → 8 lines (exit 3 = stop, record applied/outstanding, report reset verbatim, never retry into an empty pool)",gh-pr-state.sh/pr-queue.sh exit 3 with reset=; test-pr-queue.sh,low,0,
WD-02,.shared/wait-discipline.md,8-11;86-89,HIST,444,100,344,86,Anecdotes (27 empty cycles; 61 timed-out waits) → 1 line,—,low,1,test-skills-contract.sh:499[a]L9-9:CANONICAL(exactly one file repo-wide)
WD-03,.shared/wait-discipline.md,109-119,HIST,728,250,478,119,Never replay a recorded path → 2 lines,lint-versioned-plugin-paths.sh,low,1,lint-helper-refs.sh:87[e]L113-113:path must resolve: $agentkit/.shared/scripts/contr
SS-01,.shared/six-step-loop.md,94-107,SELF,1522,0,1522,380,Lead-phase mapping table restates 21-49 + 80-92 in a second layout → delete,—,low,0,
SS-02,.shared/six-step-loop.md,9-10,HIST,182,0,182,45,Placement rule is maintainer content → delete,lint-helper-refs.sh,low,1,test-helper-refs.sh:151[a]L9-9:helpers invoked by more than one skill live in `.s
EC-01,review-remote-pr/references/environment-contract.md,6-25,DUP,1489,600,889,222,Runtime neutrality → 6 lines (same content in review-remote-pr 62-68 and parallel-issues 142-156),—,low,2,lint-helper-refs.sh:87[e]L12-12:path must resolve: $agentkit/.shared/github-body-p | lint-helper-refs.sh:87[e]L19-19:path must resolve: .shared/scripts/agent-run.sh
EC-02,review-remote-pr/references/environment-contract.md,37-58,HIST,1623,600,1023,255,Harness-keyed contract note + fleet/runner operator setup → 6 lines,contract-read.sh resolves the harness file; docs/fleet-identity.md,low,1,lint-helper-refs.sh:87[e]L57-57:path must resolve: ../../../../docs/fleet-identity
TF-01,parallel-issues/references/trust-and-fencing.md,1-12,HIST,746,100,646,161,"Changelog preamble (""Command-approval fence removed 2026-08-19…"") → 1 line",—,low,0,
WG-01,review-remote-pr/references/worker-gate.md,6-30;41-58;69-78,DUP,3902,1800,2102,525,worker-gate: 6-29 duplicates review-remote-pr 126-130 + spawn-contract; 41-57 duplicates six-step-loop 51-64/83-92; 69-77 duplicates spawn-contract 436-443 → 6 + 4 + 1 lines,"spawn-contract.md, six-step-loop.md",low,23,"test-parallel-dispatch-contract.sh:1021[b]L6-6:CONCAT root_sections: root_fence + root_pub + R ""# | test-skills-contract.sh:183[a]L12-12:two allowed implementation exceptions | test-parallel-dispatch-contract.sh:1795[a]L17-17:harness-aware | lint-helper-refs.sh:87[e]L18-18:path must resolve: ../../.shared/spawn-contract.md"
WG-02,review-remote-pr/references/worker-gate.md,84-93,NET,570,150,420,105,Drop the block: REPO via `gh repo view` (network) — contract-read.sh --get repo.slug; PR is an input,contract-read.sh,low,3,"lint-helper-refs.sh:87[e]L87-87:path must resolve: $agentkit/.shared/scripts/repo- | lint-skill-invocations.sh:197[e]L87-87:invocation must be path-form: ""$agentkit/.shared/s | test-parallel-dispatch-contract.sh:1021[b]L92-92:CONCAT root_sections: root_fence + root_pub + R ""#"
GR-01,review-remote-pr/references/grooming.md,16-28;93-100,SELF,1115,300,815,203,REPO_ROOT resolved three ways → 3 lines; Pitfalls restate 5-7 → delete,groom-backlog.sh exit 3 no-op,low,2,"test-parallel-dispatch-contract.sh:600[a]L17-17:REPO_ROOT=$(git rev-parse --show-toplevel | test-parallel-dispatch-contract.sh:602[a]L23-23:git -C ""$REPO_ROOT"" rev-parse --show-toplevel"
GB-01,.shared/github-body-policy.md,7-7,NARR,843,150,693,173,gh-body.sh --json paragraph → 1 line; --help carries the shape,gh-body.sh --help; test-gh-body.sh,low,0,
RF-01,references.md,3-31,HIST,1866,700,1166,291,"Manifest preamble (hidden-dir rationale, lint description, lib note) → 8 lines",lint-reference-manifest.sh,lint-reference-manifest.sh parses entries only; preamble is free,3,lint-helper-refs.sh:87[e]L14-14:path must resolve: $agentkit/.shared/scripts/contr | test-skills-contract.sh:507[a]L28-28:contract-cache.sh` has an explicit CLI | lint-helper-refs.sh:87[e]L28-28:path must resolve: $agentkit/.shared/scripts/lib/c
B-01,(tree-wide),44 marker lines + 45 guard lines,BOILER,10391,1320,9071,2267,"Replace each two-line ""prepend THE CACHE REHYDRATION/RESOLVER"" marker + guard with one ≤30-byte comment (`# ⟵ Step 0 rehydration`); the rehydration block itself exits 1 when the cache read fails, and an unset $agentkit makes the very next helper path fail loudly (`/.shared/scripts/x.sh: No such file`)",rehydration block (contract-cache.sh --read-session-context exits non-zero); test-contract-provenance.sh,test-contract-provenance.sh:106-129 requires BOTH the marker line and the guard message in every guarded block; edit its two regexes in the same PR to accept the one-line form,,
B-02,(4 SKILL.md),"pi 191-210,218-222; rr 94-112,120-124; ob 35-60,66-70; pg 31-42,49-56",BOILER,8053,3171,4882,1220,"Keep ONE canonical resolver + rehydration block (in .shared/shell-portability.md, already a mandatory read for all four skills, or in onboard-repo whose variant is the superset); each SKILL.md Step 0 becomes a 3-line pointer + its skill-specific preflight call","contract-cache.sh; contract-read.sh; test-contract-provenance.sh, test-skills-contract.sh",HIGH: test-skills-contract.sh/test-contract-provenance.sh extract the resolver from each SKILL.md and execute it — the extraction source must move with the block in the same PR (verify in test-pins.md),,
B-03,parallel-issues/SKILL.md,247-250;291-294;529-532,BOILER,539,0,539,134,Drop the repeated 4-line `repository_root=$(git rev-parse --show-toplevel)` guard; the rehydration block already sets contract_root (use it),rehydration block line 221,low,0,
